MesgName,FieldNum,FieldName,ValueIndex,DecodedValue,RawValue,ValueType,Units,Scale,Offset,ProfileType
"session","137","TotalAnaerobicTrainingEffect","0","0","0","System.Single","","10","0","Uint8"
"session","138","unknown","0","5","5","System.Byte","","1","0","Enum"
"session","138","unknown","1","0","0","System.Byte","","1","0","Enum"
"session","150","MinTemperature","0","19","19","System.SByte","C","1","0","Sint8"
"session","184","unknown","0","0","0","System.Byte","","1","0","Enum"
"session","188","unknown","0","1","1","System.Byte","","1","0","Enum"
"session","192","WorkoutFeel","0","75","75","System.Byte","","1","0","Uint8"
"session","193","WorkoutRpe","0","30","30","System.Byte","","1","0","Uint8"
"session","205","unknown","0","100","100","System.Byte","","1","0","Enum"
"session","206","unknown","0","92","92","System.Byte","","1","0","Enum"
"session","207","unknown","0","92","92","System.Byte","","1","0","Enum"

Summary
StartTime,"2026-03-17T15:43:04.0000000Z"
TotalElapsedTime_s,"1247.782"
AvgSpeed_mps,""
