Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,Field 19,Value 19,Units 19,Field 20,Value 20,Units 20,Field 21,Value 21,Units 21,Field 22,Value 22,Units 22,Field 23,Value 23,Units 23,Field 24,Value 24,Units 24,Field 25,Value 25,Units 25,Field 26,Value 26,Units 26,Field 27,Value 27,Units 27,Field 28,Value 28,Units 28,Field 29,Value 29,Units 29,Field 30,Value 30,Units 30,Field 31,Value 31,Units 31,Field 32,Value 32,Units 32,Field 33,Value 33,Units 33,Field 34,Value 34,Units 34,Field 35,Value 35,Units 35,Field 36,Value 36,Units 36,Field 37,Value 37,Units 37,Field 38,Value 38,Units 38,Field 39,Value 39,Units 39,Field 40,Value 40,Units 40,Field 41,Value 41,Units 41,Field 42,Value 42,Units 42,Field 43,Value 43,Units 43,Field 44,Value 44,Units 44,Field 45,Value 45,Units 45,Field 46,Value 46,Units 46,Field 47,Value 47,Units 47,Field 48,Value 48,Units 48,Field 49,Value 49,Units 49,Field 50,Value 50,Units 50,Field 51,Value 51,Units 51,Field 52,Value 52,Units 52,Field 53,Value 53,Units 53,Field 54,Value 54,Units 54,Field 55,Value 55,Units 55,Field 56,Value 56,Units 56,Field 57,Value 57,Units 57,Field 58,Value 58,Units 58,Field 59,Value 59,Units 59,Field 60,Value 60,Units 60,Field 61,Value 61,Units 61,Field 62,Value 62,Units 62,Field 63,Value 63,Units 63,Field 64,Value 64,Units 64,Field 65,Value 65,Units 65,Field 66,Value 66,Units 66,Field 67,Value 67,Units 67,Field 68,Value 68,Units 68,Field 69,Value 69,Units 69,Field 70,Value 70,Units 70,Field 71,Value 71,Units 71,Field 72,Value 72,Units 72,Field 73,Value 73,Units 73,Field 74,Value 74,Units 74,Field 75,Value 75,Units 75,Field 76,Value 76,Units 76,Field 77,Value 77,Units 77,Field 78,Value 78,Units 78,Field 79,Value 79,Units 79,Field 80,Value 80,Units 80,Field 81,Value 81,Units 81,Field 82,Value 82,Units 82,Field 83,Value 83,Units 83,Field 84,Value 84,Units 84,Field 85,Value 85,Units 85,Field 86,Value 86,Units 86,Field 87,Value 87,Units 87,Field 88,Value 88,Units 88,Field 89,Value 89,Units 89,Field 90,Value 90,Units 90,Field 91,Value 91,Units 91,Field 92,Value 92,Units 92,Field 93,Value 93,Units 93,Field 94,Value 94,Units 94,Field 95,Value 95,Units 95,Field 96,Value 96,Units 96,Field 97,Value 97,Units 97,Field 98,Value 98,Units 98,Field 99,Value 99,Units 99,Field 100,Value 100,Units 100,Field 101,Value 101,Units 101,Field 102,Value 102,Units 102,Field 103,Value 103,Units 103,
Definition,0,file_id,serial_number,1,,time_created,1,,unknown,1,,manufacturer,1,,product,1,,number,1,,type,1,,
Data,0,file_id,serial_number,"3468566246",,time_created,"1143213907",,manufacturer,"1",,garmin_product,"4062",,type,"4",,,,,,,,
Definition,1,file_creator,unknown,20,,software_version,1,,hardware_version,1,,unknown,1,,unknown,1,,,,,,,,
Data,1,file_creator,software_version,"3018",,,,,,,,,,,,,,,,,,,,
Definition,2,activity,timestamp,1,,total_timer_time,1,,local_timestamp,1,,num_sessions,1,,type,1,,event,1,,event_type,1,,event_group,1,,unknown,1,,
Data,2,activity,timestamp,"1143213907",,total_timer_time,"1201.035",s,local_timestamp,"1143217507",,num_sessions,"1",,type,"0",,event,"26",,event_type,"1",,,,,,,,
Definition,2,unknown,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,
Data,2,unknown,unknown,"1143215194",,unknown,"586768",,unknown,"633916",,unknown,"315745",,unknown,"8192000",,unknown,"503110",,unknown,"1525680",,unknown,"633916",,unknown,"0",,unknown,"0",,unknown,"0",,unknown,"1310720000",,unknown,"1288155",,unknown,"618400",,unknown,"633916",,unknown,"0",,unknown,"633916",,unknown,"0",,unknown,"1143218794",,unknown,"0",,unknown,"352",,unknown,"62703",,unknown,"0",,unknown,"0",,unknown,"0",,unknown,"4049",,unknown,"74",,unknown,"0",,unknown,"0",,unknown,"113",,unknown,"0",,unknown,"16",,unknown,"0",,unknown,"2",,unknown,"6",,unknown,"0",,unknown,"0",,unknown,"100",,unknown,"0",,unknown,"0",,unknown,"5",,unknown,"0",,unknown,"-100",,unknown,"-1",,unknown,"0",,unknown,"1",,unknown,"1",,unknown,"1",,unknown,"98",,unknown,"92",,unknown,"1",,unknown,"0",,unknown,"0",,unknown,"6",,unknown,"0",,unknown,"127",,unknown,"120",,unknown,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,3,session,timestamp,1,,start_time,1,,start_position_lat,1,,start_position_long,1,,total_elapsed_time,1,,total_timer_time,1,,total_distance,1,,total_cycles,1,,nec_lat,1,,nec_long,1,,swc_lat,1,,swc_long,1,,end_position_lat,1,,end_position_long,1,,total_work,1,,sport_profile_name,32,,time_standing,1,,avg_left_power_phase,4,,avg_left_power_phase_peak,4,,avg_right_power_phase,4,,avg_right_power_phase_peak,4,,avg_power_position,2,,max_power_position,2,,enhanced_avg_speed,1,,enhanced_max_speed,1,,training_load_peak,1,,total_grit,1,,avg_flow,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,message_index,1,,total_calories,1,,total_fat_calories,1,,avg_power,1,,max_power,1,,total_ascent,1,,total_descent,1,,first_lap_index,1,,num_laps,1,,normalized_power,1,,training_stress_score,1,,intensity_factor,1,,left_right_balance,1,,threshold_power,1,,unknown,1,,unknown,1,,unknown,1,,stand_count,1,,avg_vam,1,,unknown,1,,enhanced_avg_respiration_rate,1,,enhanced_max_respiration_rate,1,,unknown,1,,unknown,1,,unknown,1,,enhanced_min_respiration_rate,1,,jump_count,1,,metabolic_calories,1,,unknown,1,,event,1,,event_type,1,,sport,1,,sub_sport,1,,avg_heart_rate,1,,max_heart_rate,1,,avg_cadence,1,,max_cadence,1,,total_training_effect,1,,event_group,1,,trigger,1,,avg_temperature,1,,max_temperature,1,,unknown,1,,avg_fractional_cadence,1,,max_fractional_cadence,1,,total_fractional_cycles,1,,avg_left_torque_effectiveness,1,,avg_right_torque_effectiveness,1,,avg_left_pedal_smoothness,1,,avg_right_pedal_smoothness,1,,avg_combined_pedal_smoothness,1,,unknown,1,,sport_index,1,,avg_left_pco,1,,avg_right_pco,1,,avg_cadence_position,2,,max_cadence_position,2,,total_anaerobic_training_effect,1,,unknown,2,,min_temperature,1,,unknown,1,,unknown,1,,unknown,1,,workout_feel,1,,workout_rpe,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,
Data,3,session,timestamp,"1143213907",s,start_time,"1143213907",,total_elapsed_time,"1255.436",s,total_timer_time,"1201.035",s,total_distance,"6184.58",m,total_strokes,"1614",cycles,total_work,"89205",J,sport_profile_name,"INDOOR",,enhanced_avg_speed,"5.149",m/s,enhanced_max_speed,"7.082",m/s,training_load_peak,"9.67279052734375",,message_index,"0",,total_calories,"125",kcal,avg_power,"74",watts,max_power,"117",watts,first_lap_index,"0",,num_laps,"2",,normalized_power,"75",watts,training_stress_score,"3.3",tss,intensity_factor,"0.318",if,threshold_power,"236",watts,unknown,"0",,enhanced_avg_respiration_rate,"28.77",Breaths/min,enhanced_max_respiration_rate,"40.56",Breaths/min,unknown,"77",,enhanced_min_respiration_rate,"15.95",,metabolic_calories,"36",kcal,event,"8",,event_type,"1",,sport,"2",,sub_sport,"6",,avg_heart_rate,"127",bpm,max_heart_rate,"140",bpm,avg_cadence,"80",rpm,max_cadence,"121",rpm,total_training_effect,"1.6",,trigger,"0",,avg_temperature,"19",C,max_temperature,"20",C,unknown,"0",,avg_fractional_cadence,"0.765625",rpm,max_fractional_cadence,"0.0",rpm,total_anaerobic_training_effect,"0.0",,unknown,"5|0",,min_temperature,"18",C,unknown,"0",,unknown,"1",,workout_feel,"75",,workout_rpe,"20",,unknown,"100",,unknown,"92",,unknown,"92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
